+ ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Rotom-Wash         | 19.71770% | 809893 | 15.883% | 694622 | 17.187% | 
 | 2    | Charizard          | 16.68517% | 845220 | 16.576% | 677246 | 16.757% | 
 | 3    | Aegislash          | 15.93173% | 738010 | 14.473% | 578431 | 14.312% | 
 | 4    | Talonflame         | 14.85993% | 669458 | 13.129% | 531373 | 13.148% | 
 | 5    | Greninja           | 14.49611% | 709756 | 13.919% | 556394 | 13.767% | 
 | 6    | Heatran            | 12.45876% | 489064 |  9.591% | 412787 | 10.214% | 
 | 7    | Scizor             | 12.29698% | 564920 | 11.079% | 443008 | 10.961% | 
 | 8    | Conkeldurr         | 12.15604% | 501687 |  9.839% | 410824 | 10.165% | 
 | 9    | Garchomp           | 12.04187% | 565943 | 11.099% | 432128 | 10.692% | 
 | 10   | Azumarill          | 11.59448% | 561615 | 11.014% | 450511 | 11.147% | 
 | 11   | Gliscor            | 11.28623% | 580418 | 11.383% | 454376 | 11.243% | 
 | 12   | Tyranitar          | 11.15254% | 509732 |  9.997% | 414009 | 10.244% | 
 | 13   | Ferrothorn         | 10.42895% | 501525 |  9.836% | 434163 | 10.743% | 
 | 14   | Dragonite          |  9.90224% | 506105 |  9.925% | 380257 |  9.409% | 
 | 15   | Excadrill          |  9.83229% | 430516 |  8.443% | 323709 |  8.010% | 
 | 16   | Venusaur           |  9.10045% | 429319 |  8.420% | 339445 |  8.399% | 
 | 17   | Mandibuzz          |  8.23421% | 328081 |  6.434% | 265564 |  6.571% | 
 | 18   | Gengar             |  8.03835% | 424875 |  8.332% | 320119 |  7.921% | 
 | 19   | Latios             |  7.90433% | 318807 |  6.252% | 240088 |  5.941% | 
 | 20   | Genesect           |  7.40718% | 297160 |  5.828% | 251538 |  6.224% | 
 | 21   | Bisharp            |  7.30878% | 321069 |  6.297% | 248429 |  6.147% | 
 | 22   | Landorus-Therian   |  7.30560% | 265545 |  5.208% | 230313 |  5.699% | 
 | 23   | Lucario            |  7.24112% | 359421 |  7.049% | 269705 |  6.673% | 
 | 24   | Espeon             |  7.21341% | 384635 |  7.543% | 293014 |  7.250% | 
 | 25   | Togekiss           |  7.01378% | 371664 |  7.289% | 286979 |  7.101% | 
